--FenyW2i_4,0,female singing,train
--ZHUMfueO0,30,female singing,train
--bvmgIdDC8,30,female singing,train
--i-y1v8Hy8,0,female singing,test
--yJcmmwiMc,30,playing acoustic guitar,train
-0HxntVOLW4,508,"playing steel guitar, slide guitar",train
-0KgYgXKFXs,30,female singing,train
-0SIsA5l5Eg,30,female singing,train
-0UQF2s0VYI,0,horse neighing,train
-0iEMffOYwo,5,playing oboe,train
-0jeONf82dE,21,horse neighing,test
-12PNUDVUjA,29,playing acoustic guitar,train
-1XBP-nZ1bQ,90,playing acoustic guitar,train
-1pHg-ZVssE,30,female singing,train
-1ukRC9M6bc,50,playing drum kit,train
-26aVYRtEAc,30,female singing,train
-2McrNUTKQQ,30,female singing,train
-2OrscQ9MKw,185,playing lacrosse,train
-2TjevpJuAs,30,playing acoustic guitar,train
-2xxVISlg34,30,female singing,train
-2zHCY2q4DA,139,eletric blender running,train
-3L1rzGAD_o,30,playing acoustic guitar,train
-3cuiWZz8FY,30,female singing,train
-3f9zdKh7Oc,168,female singing,train
-4ELUORuKtk,30,playing acoustic guitar,train
-4c4jzE5y_c,5,horse neighing,train
-4rIk1uat_w,30,female singing,train
-4rdRn-FRXo,30,female singing,train
-51CA8BX7gU,30,female singing,train
-584aFK8XSk,30,female singing,train
-5F19pIqURQ,30,female singing,train
-5KPeudJyhk,300,playing drum kit,train
-5V3sOxJSVc,120,female singing,train
-5VX0RJeXok,30,female singing,train
-5YLszkC2Ow,30,horse neighing,train
-5ZIlKvRDXY,30,female singing,train
-6EzbBAmvjA,30,female singing,train
-6HhoAY9Fbs,30,playing acoustic guitar,train
-6khcuB2d5U,30,female singing,train
-6nQx26blSU,30,female singing,train
-6t2iefJug8,10,playing drum kit,train
-6tJgFlNo-c,30,playing acoustic guitar,train
-6wRweADHxk,18,horse neighing,train
-7RYSjOitGI,30,female singing,train
-7xRJ-Osv1E,30,female singing,train
-8JBa54NFpU,30,playing acoustic guitar,train
-8bJL3kpPGI,30,female singing,train
-8cgbhIR_pw,30,playing acoustic guitar,test
-93ZUEWxPkc,109,"playing steel guitar, slide guitar",train
-93ZUEWxPkc,164,"playing steel guitar, slide guitar",train
-9GRE84DX2M,30,playing acoustic guitar,train
-9O4n8-FV9k,13,female singing,train
-9WhMNFBJpY,30,playing drum kit,train
-9hqBiuwp2Y,30,playing acoustic guitar,train
-AEwV5b8gEo,30,female singing,train
-BFcExBQfAk,30,playing acoustic guitar,train
-BfXVjsdZV4,30,female singing,train
-BkMXlxBciQ,30,playing acoustic guitar,train
-BmPN1XE9zo,62,horse neighing,train
-BmPN1XE9zo,107,horse neighing,train
-BpgDEXKdx4,30,playing acoustic guitar,train
-BtB4p1IT0M,30,female singing,train
-C96gWRdNVM,30,playing acoustic guitar,train
-COelgvUEW4,16,female singing,test
-Cta7QVe1hk,30,female singing,train
-DJBhehSljQ,52,"playing steel guitar, slide guitar",train
-DJBhehSljQ,84,"playing steel guitar, slide guitar",train
-DqNQZbYA_k,30,female singing,train
-E1zyCQE3es,30,playing acoustic guitar,train
-E9poYAgUz4,30,female singing,train
-EHk1UB4TAE,30,female singing,train
-F-60iUiBh4,30,horse neighing,train
-FIGpCo9VoM,30,playing acoustic guitar,train
-FLztWOwCRI,30,playing acoustic guitar,train
-FMH8bwF9iQ,30,playing drum kit,train
-FcB1UrcL0E,30,playing acoustic guitar,train
-G08iN_t2QQ,30,playing acoustic guitar,train
-H9TUxVr-e8,102,"playing steel guitar, slide guitar",train
-H9TUxVr-e8,227,"playing steel guitar, slide guitar",train
-Hti5s8LP9A,30,playing acoustic guitar,train
-I8C3cRr5TY,30,female singing,train
-IY3C-2iG7w,30,playing acoustic guitar,train
-IZbvEO9wzU,30,female singing,test
-Is-xwitsSQ,30,female singing,train
-JQLLT8ouTs,30,female singing,train
-JdUSVmQq88,30,female singing,train
-JtpqwcTYGA,30,female singing,train
-JvWk-7okCI,10,female singing,train
-JxhtCzoQnI,30,female singing,train
-K1BRF6qng8,30,female singing,test
-Kc9P729mqM,30,female singing,train
-KoA6lhvUDU,29,horse neighing,train
-LrC5sxFfo4,30,female singing,train
-LrNmB50-nA,30,playing acoustic guitar,train
-MNuB5iDU4M,30,female singing,train
-MXSNjWmeGA,30,female singing,train
-MhRjqy2pZg,127,cat hissing,train
-MhRjqy2pZg,137,cat hissing,train
-MqBuNdwrsk,30,female singing,train
-NbGhE9wWbU,2,playing oboe,train
-NcRVzNUqYU,0,playing oboe,train
-NcRVzNUqYU,15,playing oboe,train
-NwBdmVSg1w,0,cat hissing,test
-OBtV-0Pvfw,30,playing acoustic guitar,train
-O_i9m2l_gA,30,playing acoustic guitar,train
-OgTcVZC5lU,30,female singing,train
-OtbfS_JWn4,30,female singing,train
-OuLM2izvUM,50,female singing,train
-OwoOIYsIXY,170,playing drum kit,train
-PKwMUgKYGw,130,playing drum kit,train
-PLaLa1Nds4,30,playing acoustic guitar,train
-PMlBj8IuDA,30,female singing,train
-PjURNLAvJk,30,horse neighing,train
-Q3MX7Tgx_E,111,cat hissing,test
